5338	Agaricales	2351719	84038	156
5529	Metarhizium	155982	11309	16
5583	Exophiala	118379	14046	12
5658	Leishmania	111257	8217	14
5690	Trypanosoma	134803	10193	16
5794	Apicomplexa	556695	23034	113
5796	Coccidia	219663	15597	40
5800	Eimeria	37230	8210	7
5806	Cryptosporidium	55557	4504	15
5809	Sarcocystidae	120043	7589	17
5820	Plasmodium	281201	7440	56
5863	Piroplasmida	40385	4846	12
5864	Babesia	22628	3876	7
5878	Ciliophora	247609	32927	13
6029	Microsporidia	107553	7983	56
6073	Cnidaria	567024	38653	31
6101	Anthozoa	498133	39391	23
6231	Nematoda	964859	55000	79
6447	Mollusca	1131838	76149	52
6656	Arthropoda	14867896	144186	1088
6657	Crustacea	627717	38861	44
6854	Arachnida	894216	67093	53
6893	Araneae	366763	47751	14
6933	Acari	446611	33506	36
6960	Hexapoda	13158665	82341	989
7041	Coleoptera	1205873	44325	80
7088	Lepidoptera	5409526	26668	391
7147	Diptera	2925880	23858	236
7148	Nematocera	492177	13793	45
7157	Culicidae	352905	13009	31
7164	Anopheles	222678	12909	20
7203	Brachycera	2306288	17480	191
7214	Drosophilidae	1125721	17313	86
7215	Drosophila	1086835	17148	83
7399	Hymenoptera	2044715	20736	197
7434	Aculeata	1515077	20161	146
7524	Hemiptera	572095	31986	44
7742	Vertebrata	21291707	56137	1155
7898	Actinopterygii	5422081	28013	244
8292	Amphibia	433847	26752	21
8457	Sauropsida	6832624	27188	470
8509	Squamata	527776	23021	29
8782	Aves	5892754	23023	419
9108	Gruiformes	137317	17107	11
9126	Passeriformes	2695783	21106	194
9205	Pelecaniformes	90273	15543	7
9263	Metatheria	195133	20162	10
9347	Eutheria	7696205	41261	393
9362	Eulipotyphla	162376	18999	9
9443	Primates	1099085	25527	57
9604	Hominidae	137947	19951	7
9721	Cetacea	603125	22752	33
9989	Rodentia	1637190	28504	81
10239	Viruses	214289	29063	7962
10240	Poxviridae	8143	693	37
10241	Chordopoxvirinae	6397	466	30
10242	Orthopoxvirus	4521	227	4
10257	Parapoxvirus	2853	135	5
10260	Avipoxvirus	3248	234	3
10284	Entomopoxvirinae	2871	267	7
10286	Betaentomopoxvirus	2813	261	4
10292	Herpesviridae	\N	\N	\N
10293	Alphaherpesvirinae	3484	157	28
10294	Simplexvirus	2473	77	9
10319	Varicellovirus	2618	83	9
10357	Betaherpesvirinae	3276	392	22
10358	Cytomegalovirus	2230	217	8
10374	Gammaherpesvirinae	2993	167	27
10379	Rhadinovirus	2431	95	8
10405	Orthohepadnavirus	61	4	9
10437	Avihepadnavirus	50	3	7
10442	Baculoviridae	10340	680	75
10474	Fuselloviridae	251	51	10
10475	Alphafusellovirus	229	46	7
10477	Lipothrixviridae	418	90	7
10486	Iridoviridae	4896	500	22
10487	Iridovirus	2556	262	2
10492	Ranavirus	2241	133	10
10501	Phycodnaviridae	8438	1191	23
10508	Adenoviridae	2086	163	75
10509	Mastadenovirus	1608	90	49
10552	Aviadenovirus	1028	54	13
10639	Caulimovirus	176	9	11
10652	Badnavirus	393	21	56
10656	Tectiviridae	165	64	7
10663	Tequatrovirus	21941	1686	5
10780	Parvoviridae	539	37	132
10803	Dependoparvovirus	206	2	17
10806	Ambidensovirus	144	10	5
10811	Geminiviridae	3247	40	510
10812	Mastrevirus	808	7	41
10814	Begomovirus	3031	19	438
10841	Microviridae	222	42	43
10860	Inoviridae	319	88	36
10877	Cystoviridae	55	23	7
10882	Orthoreovirus	87	11	8
10892	Orbivirus	222	22	24
10912	Rotavirus	80	21	9
10979	Aquareovirus	92	12	7
10981	Cypovirus	50	14	8
10988	Fijivirus	58	11	7
10993	Birnaviridae	38	7	9
11006	Totiviridae	238	16	94
11007	Totivirus	120	6	10
11012	Partitiviridae	191	13	70
11018	Togaviridae	399	13	30
11050	Flaviviridae	1507	68	144
11051	Flavivirus	1055	26	23
11095	Pestivirus	134	10	13
11102	Hepacivirus	265	15	23
11118	Coronaviridae	1121	86	54
11157	Mononegavirales	2227	195	313
11158	Paramyxoviridae	821	27	65
11229	Morbillivirus	371	9	7
11244	Pneumoviridae	171	10	7
11266	Filoviridae	280	8	8
11270	Rhabdoviridae	1551	129	187
11271	Vesiculovirus	922	8	17
11286	Lyssavirus	775	7	17
